molecule_chembl_id
CHEMBL6328
CHEMBL267864
CHEMBL6329
CHEMBL6352
CHEMBL265667
CHEMBL6363
CHEMBL6362
CHEMBL268097
CHEMBL6206
CHEMBL6222
CHEMBL268556
CHEMBL266457
CHEMBL6214
CHEMBL269758
CHEMBL6228
CHEMBL6230
CHEMBL268365
CHEMBL6223
CHEMBL6254
CHEMBL6268
CHEMBL414196
CHEMBL268528
CHEMBL6266
CHEMBL112998
CHEMBL258254
CHEMBL266885
CHEMBL6361
CHEMBL429017
CHEMBL6354
CHEMBL6212
CHEMBL6356
CHEMBL446445
CHEMBL269729
CHEMBL6344
CHEMBL6315
CHEMBL263077
CHEMBL6207
CHEMBL266223
CHEMBL6348
CHEMBL6347
CHEMBL6339
CHEMBL6340
CHEMBL268768
CHEMBL6358
CHEMBL6351
CHEMBL6342
CHEMBL429379
CHEMBL6219
CHEMBL6218
CHEMBL6208
CHEMBL415285
CHEMBL6226
CHEMBL415286
CHEMBL264721
CHEMBL6237
CHEMBL6236
CHEMBL6238
CHEMBL6239
CHEMBL6243
CHEMBL6240
CHEMBL6272
CHEMBL269496
CHEMBL6284
CHEMBL6283
CHEMBL266484
CHEMBL6277
CHEMBL6290
CHEMBL6308
CHEMBL268830
CHEMBL268150
CHEMBL447227
CHEMBL268831
CHEMBL2
CHEMBL6302
CHEMBL6306
CHEMBL6293
CHEMBL415103
CHEMBL6313
CHEMBL6321
CHEMBL267915
CHEMBL6343
CHEMBL204146
CHEMBL266081
CHEMBL6355
CHEMBL6364
CHEMBL6365
CHEMBL6314
CHEMBL6323
CHEMBL266458
CHEMBL6366
CHEMBL6200
CHEMBL3
CHEMBL216458
CHEMBL266886
CHEMBL269132
CHEMBL269133
CHEMBL6346
CHEMBL414181
CHEMBL6334
CHEMBL263076
CHEMBL6353
CHEMBL6349
CHEMBL268770
CHEMBL413593
CHEMBL267358
CHEMBL6335
CHEMBL6345
CHEMBL6336
CHEMBL269134
CHEMBL6338
CHEMBL24879
CHEMBL6217
CHEMBL6359
CHEMBL227457
CHEMBL6211
CHEMBL266184
CHEMBL267913
CHEMBL6246
CHEMBL414696
CHEMBL5
CHEMBL4
CHEMBL6245
CHEMBL6201
CHEMBL265773
CHEMBL6247
CHEMBL6270
CHEMBL6312
CHEMBL204021
CHEMBL268597
CHEMBL6311
CHEMBL266222
CHEMBL6263
CHEMBL6319
CHEMBL6341
CHEMBL6322
CHEMBL269131
CHEMBL267357
CHEMBL380444
CHEMBL204022
CHEMBL6350
CHEMBL6202
CHEMBL268596
CHEMBL258253
CHEMBL6203
